ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,Existing Customer,43,F,4,High School,Unknown,Less than $40K,Blue,39,3,3,3,2786,1793,993,0.803,3646,68,0.659,0.644
2,Existing Customer,54,M,4,Graduate,Married,$120K +,Blue,50,4,2,0,2872,2035,837,0.613,1770,47,0.741,0.709
3,Attrited Customer,49,F,3,High School,Married,Less than $40K,Blue,45,3,2,3,2951,2437,514,0.765,2519,36,0.565,0.826
4,Attrited Customer,38,M,3,College,Single,$60K - $80K,Blue,34,6,3,4,12050,1821,10229,0.63,2381,40,0.481,0.151
5,Existing Customer,50,M,0,Uneducated,Married,$60K - $80K,Blue,46,4,1,3,3640,659,2981,0.938,3756,70,0.842,0.181
6,Existing Customer,41,F,3,College,Married,Less than $40K,Blue,37,3,1,2,1438.3,765,673.3,0.644,4053,66,0.692,0.532
7,Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,39,3,3,3,14881,848,14033,0.762,1408,23,1.091,0.057
8,Existing Customer,49,M,2,Graduate,Married,$40K - $60K,Blue,45,4,2,0,10541,1387,9154,0.72,4269,92,0.614,0.132
9,Existing Customer,50,M,2,High School,Single,$60K - $80K,Blue,46,6,2,4,5626,778,4848,1.009,4957,84,1.049,0.138
10,Attrited Customer,55,F,2,Graduate,Unknown,Less than $40K,Blue,50,4,4,3,1438.3,0,1438.3,0.639,1785,33,0.32,0
11,Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,45,3,0,4,23870,0,23870,0.604,1885,39,0.345,0
12,Existing Customer,46,F,4,Graduate,Married,Less than $40K,Blue,42,4,2,0,3504,1698,1806,0.575,4439,70,0.628,0.485
13,Existing Customer,43,F,3,High School,Unknown,Less than $40K,Blue,39,5,3,2,3370,2284,1086,0.673,4084,70,0.628,0.678
14,Attrited Customer,58,F,1,Uneducated,Divorced,Unknown,Blue,54,3,5,3,3266,859,2407,0.74,2151,46,0.438,0.263
15,Existing Customer,41,M,2,Graduate,Married,$60K - $80K,Blue,37,1,2,1,3786,1171,2615,0.697,5369,75,0.596,0.309
16,Existing Customer,47,F,3,Graduate,Single,Less than $40K,Blue,43,4,2,4,5062,1423,3639,0.775,4535,68,0.417,0.281
17,Existing Customer,40,M,4,Uneducated,Married,$120K +,Blue,36,2,2,2,17606,1377,16229,0.861,8104,83,0.627,0.078
18,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,47,2,2,1,5118,980,4138,0.786,14593,109,0.627,0.191
19,Attrited Customer,54,F,1,Uneducated,Married,Unknown,Blue,50,4,0,3,2912,0,2912,0.621,2465,54,1.077,0
20,Existing Customer,39,F,1,Uneducated,Single,Less than $40K,Blue,35,5,3,0,2062,1302,760,0.631,3785,63,0.75,0.631
21,Existing Customer,43,M,4,Uneducated,Single,$40K - $60K,Blue,39,5,2,2,6648,2242,4406,0.79,2089,60,0.579,0.337
22,Existing Customer,42,F,5,Graduate,Married,Less than $40K,Blue,38,5,1,2,2346,1373,973,0.73,4432,72,0.756,0.585
23,Existing Customer,42,M,4,High School,Married,$60K - $80K,Blue,38,2,2,2,13426,0,13426,0.717,4674,66,0.886,0
24,Existing Customer,40,M,3,Uneducated,Single,$120K +,Blue,36,4,2,5,34516,1329,33187,0.574,3906,77,0.51,0.039
25,Existing Customer,46,F,3,College,Single,Less than $40K,Blue,42,3,2,4,7616,1251,6365,0.581,2006,52,0.405,0.164
26,Existing Customer,48,F,3,Uneducated,Divorced,Less than $40K,Blue,44,3,2,1,4107,2517,1590,0.779,16027,112,0.723,0.613
27,Existing Customer,45,F,2,Unknown,Single,Less than $40K,Blue,41,6,2,2,5596,0,5596,0.833,3212,64,0.422,0
28,Existing Customer,59,F,0,Graduate,Unknown,Unknown,Blue,55,4,3,3,1438.3,755,683.3,0.62,4222,75,0.744,0.525
29,Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,53,3,2,4,25058,1710,23348,0.613,2053,55,0.528,0.068
30,Existing Customer,40,M,4,Graduate,Married,$80K - $120K,Blue,36,3,3,2,2165,1465,700,0.622,3672,64,0.73,0.677
